chlorides;total_sulfur_dioxide;density;pH;sulphates;alcohol
0.086;147.0;0.9979;3.24;0.53;9.4
0.084;145.0;0.9978;3.24;0.53;9.4
0.143;23.0;0.9964;3.35;0.65;10.2
0.067;57.0;0.997;3.18;1.36;10.3
0.071;40.0;0.9991;3.39;0.62;9.4
0.071;68.0;0.9992;3.46;0.63;9.5
0.115;11.0;0.9984;3.37;0.69;10.1
0.107;20.0;0.9972;3.4;0.63;10.1
0.07;14.0;0.9967;3.32;0.58;11.0
0.066;28.0;0.9964;3.33;0.67;11.2
0.068;148.0;0.9948;3.16;0.57;11.3
0.106;32.0;0.9986;2.89;0.5;9.6
0.104;155.0;1.001;3.41;0.67;11.2
0.096;71.0;0.9976;2.98;0.84;14.9
0.079;30.0;0.9976;3.12;0.54;12.0
0.074;29.0;0.9979;3.08;0.46;9.5
0.087;53.0;1.0004;3.14;0.61;9.4
0.073;42.0;0.998;2.92;0.68;10.5
0.074;20.0;0.9973;3.32;0.81;9.6
0.096;13.0;0.997;3.41;0.57;11.0
0.08;42.0;0.9978;3.31;0.64;9.0
0.076;27.0;0.9972;3.36;0.7;9.6
0.05;13.0;0.9974;3.04;0.79;10.2
0.092;54.0;1.0;3.03;0.66;10.2
0.084;48.0;0.9981;3.14;0.56;9.7
0.222;16.0;0.998;3.18;0.6;9.5
0.0819999999999999;15.0;0.9988;2.94;0.66;9.2
0.059;31.0;0.9966;3.15;0.57;11.0
0.083;45.0;0.9959;3.26;0.58;10.0
0.074;13.0;0.9968;3.2;0.52;9.5
0.079;151.0;0.998;3.15;0.53;9.5
0.084;17.0;0.9984;3.08;0.67;9.3
0.064;31.0;0.9984;3.26;0.65;10.2
0.084;31.0;0.9979;3.4;0.48;9.9
0.081;87.0;0.9983;3.48;0.53;10.0
0.06;49.0;0.9972;3.13;0.54;9.6
0.07;40.0;1.0004;3.06;0.49;9.0
0.094;29.0;0.9962;3.21;0.49;10.2
0.078;58.0;0.998;3.33;0.54;9.8
0.059;15.0;0.997;3.37;0.56;11.3
0.078;152.0;0.998;3.25;0.48;9.4
0.07;40.0;0.997;3.44;0.6;9.1
0.095;38.0;0.9998;3.28;0.59;9.7
0.039;9.0;0.9962;3.4;0.47;9.4
0.157;17.0;0.9976;3.3;1.05;9.4
0.0969999999999999;14.0;0.9966;3.63;0.54;10.7
0.087;93.0;0.9998;3.48;0.54;9.8
0.422;62.0;0.9979;3.03;1.17;9.0
0.084;122.0;0.9984;3.32;0.62;9.4
0.084;125.0;0.9984;3.31;0.61;9.4
0.034;44.0;0.9921;3.9;0.62;12.8
0.066;25.0;0.9972;3.47;0.67;9.5
0.087;72.0;1.0001;3.31;0.53;9.7
0.071;19.0;0.9986;3.11;0.62;10.8
0.076;88.0;0.9984;3.08;0.57;10.1
0.067;23.0;0.997;3.47;0.67;9.4
0.073;84.0;0.9972;3.32;0.7;9.6
0.078;14.0;0.998;3.29;0.54;9.7
0.073;54.0;0.999;3.37;0.49;9.9
0.093;19.0;0.9956;3.4;0.47;10.0
0.077;37.0;0.9966;3.37;0.51;10.5
0.068;35.0;0.996;3.34;0.61;11.6
0.062;33.0;0.9983;3.27;0.66;10.0
0.08;84.0;0.9985;3.06;0.57;10.1
0.093;112.0;0.9998;3.38;0.61;9.5
0.084;33.0;0.9992;3.36;0.45;9.4
0.075;48.0;0.9976;3.34;0.46;9.4
0.078;77.0;0.998;3.28;0.51;9.8
0.069;34.0;0.9967;3.29;0.48;9.2
0.079;49.0;0.9968;3.21;0.57;10.0
0.0819999999999999;22.0;0.9976;3.22;0.44;9.6
0.086;45.0;0.9976;3.46;0.54;9.5
0.094;106.0;0.9982;3.1;0.53;9.2
0.084;48.0;0.9968;3.21;0.59;10.0
0.053;127.0;0.9965;2.94;1.62;9.5
0.086;12.0;0.9958;3.54;0.6;11.2
0.077;13.0;0.9976;3.29;0.55;10.4
0.084;49.0;0.9994;3.43;0.72;11.1
0.067;11.0;0.997;3.46;0.68;9.5
0.071;58.0;0.995;3.61;0.49;12.7
0.387;37.0;0.9982;3.17;0.67;9.6
0.088;14.0;0.9994;3.44;0.52;11.5
0.092;19.0;0.9966;3.39;0.47;9.6
0.0819999999999999;72.0;0.998;3.55;0.6;9.5
0.075;39.0;0.9987;3.48;0.62;9.3
0.1119999999999999;22.0;0.9963;3.26;0.5;9.5
0.093;58.0;1.0002;3.5;0.65;9.3
0.092;104.0;0.9983;3.1;0.56;9.2
0.088;38.0;0.999;3.35;0.6;9.3
0.075;16.0;0.9965;3.45;0.68;11.5
0.078;139.0;0.99788;3.21;0.57;9.5
0.065;18.0;0.9972;3.46;0.65;9.2
0.096;101.0;1.00024;3.13;0.53;10.0
0.095;101.0;1.0001;3.13;0.51;9.5
0.07;28.0;0.99768;3.52;0.73;9.5
0.08;57.0;0.9978;3.3;0.47;9.0
0.083;68.0;0.99782;3.3;0.48;9.4
0.071;31.0;0.99761;3.52;0.72;9.6
0.089;40.0;0.99803;3.29;0.55;9.5
0.0969999999999999;66.0;0.99785;3.39;0.61;9.4
0.415;32.0;0.99656;3.09;1.06;9.1
0.0579999999999999;47.0;0.99525;3.51;0.43;10.7
0.057;33.0;0.99488;3.6;0.46;11.2
0.084;31.0;0.99656;3.25;0.5;9.8
0.092;88.0;0.99823;3.19;0.52;9.2
0.075;104.0;0.99779;3.23;0.57;9.7
0.096;35.0;0.99738;3.25;0.42;9.6
0.069;19.0;0.99701;3.31;0.53;10.0
0.093;44.0;0.99888;3.31;0.55;9.5
0.091;48.0;0.99888;3.31;0.54;9.5
0.089;74.0;0.99738;3.14;0.54;9.4
0.103;98.0;0.99938;3.45;0.62;9.5
0.0819999999999999;94.0;0.99744;3.55;0.53;9.7
0.076;32.0;0.99668;3.39;0.54;9.6
0.0819999999999999;143.0;0.9978;3.28;0.55;9.4
0.0819999999999999;144.0;0.99782;3.27;0.55;9.4
0.157;44.0;0.9973;3.3;0.92;9.5
0.157;45.0;0.99727;3.31;0.91;9.5
0.102;16.0;0.99586;3.43;0.46;10.0
0.243;48.0;0.99612;3.4;0.6;10.3
0.241;18.0;0.9961;3.4;0.59;10.3
0.079;34.0;0.99788;3.36;0.61;10.5
0.076;92.0;0.99745;3.5;0.6;9.8
0.19;45.0;0.99676;3.31;0.6;9.4
0.114;37.0;0.99732;3.66;0.65;9.8
0.081;96.0;0.99814;3.36;0.53;10.0
0.077;85.0;0.99746;3.55;0.59;9.8
0.083;61.0;0.9982;3.21;0.5;9.5
0.079;58.0;0.9991;3.18;0.56;10.1
0.099;119.0;0.998;3.09;0.52;9.3
0.0819999999999999;82.0;0.99708;3.33;0.68;9.7
0.084;130.0;0.99818;3.23;0.54;9.6
0.081;87.0;0.99745;3.48;0.6;9.7
0.055;13.0;0.99639;3.38;0.56;10.8
0.065;26.0;0.99531;3.17;0.53;12.5
0.132;60.0;0.99786;2.99;1.18;10.2
0.126;64.0;0.99746;3.1;0.74;9.6
0.038;42.0;0.99526;3.24;0.81;10.8
0.0819999999999999;14.0;0.9987;3.29;0.52;10.7
0.0819999999999999;108.0;0.99641;3.25;0.51;9.4
0.068;17.0;0.99735;3.23;0.44;10.0
0.044;86.0;0.99264;3.56;0.94;12.9
0.114;46.0;0.9971;3.24;0.66;9.6
0.084;18.0;0.99682;3.26;0.57;9.9
0.052;10.0;0.99356;3.33;0.7;12.8
0.0409999999999999;10.0;0.99386;3.27;0.71;12.5
0.165;12.0;0.99702;3.26;0.86;9.2
0.07;15.0;0.99693;3.22;0.55;10.3
0.068;14.0;0.99562;3.3;0.47;10.5
0.072;24.0;1.00012;3.09;0.68;10.9
0.099;38.0;0.99818;3.24;0.71;10.8
0.102;7.0;0.99462;3.44;0.58;11.4
0.103;41.0;0.99939;3.21;0.76;11.3
0.081;30.0;0.9984;3.23;0.58;10.5
0.084;27.0;0.99545;3.28;0.73;11.9
0.071;47.0;0.99632;3.29;0.45;9.4
0.0969999999999999;59.0;0.99976;3.28;0.54;9.6
0.099;22.0;0.99606;3.34;0.6;9.7
0.048;42.0;0.99154;3.71;0.74;14.0
0.076;36.0;0.9973;3.61;0.64;9.8
0.068;16.0;0.99682;3.24;0.53;10.3
0.076;37.0;0.99624;3.36;0.49;10.7
0.05;8.0;0.9951;3.4;0.64;11.0
0.065;45.0;0.99417;3.46;0.74;12.7
0.071;24.0;0.99376;3.56;0.77;11.1
0.0579999999999999;9.0;0.99632;3.38;0.55;10.9
0.145;48.0;0.99832;3.38;0.86;9.9
0.147;51.0;0.99836;3.38;0.86;9.9
0.088;23.0;0.99694;3.32;0.47;9.4
0.066;55.0;0.99655;3.39;0.51;9.3
0.012;100.0;0.99064;3.26;0.39;11.7
0.075;28.0;0.99672;3.24;0.83;11.2
0.092;26.0;0.99647;3.46;0.47;10.0
0.085;34.0;0.99736;3.24;0.77;12.1
0.115;31.0;0.99629;3.45;0.63;10.3
0.119;68.0;0.99708;3.23;0.72;10.9
0.088;92.0;0.9963;3.28;0.62;9.4
0.062;42.0;0.9959;3.18;0.83;10.6
0.081;31.0;0.99689;3.59;0.66;9.8
0.078;39.0;0.9977;3.5;0.7;9.9
0.08;32.0;0.99689;3.58;0.66;9.8
0.085;22.0;0.99708;3.28;0.55;9.5
0.08;122.0;0.99801;3.22;1.07;9.7
0.08;55.0;0.99652;3.47;0.73;10.9
0.071;14.0;0.99538;3.51;0.71;11.7
0.073;47.0;0.99594;3.4;0.78;11.3
0.054;32.0;0.99686;3.15;0.67;10.6
0.074;24.0;0.99438;3.4;0.82;11.2
0.077;85.0;0.99746;3.51;0.54;9.5
0.039;88.0;0.99357;3.66;0.6;11.5
0.067;25.0;0.99628;3.24;0.44;10.4
0.078;84.0;0.99746;3.51;0.53;9.7
0.077;86.0;0.99748;3.51;0.54;9.7
0.071;24.0;0.99438;3.41;0.83;11.3
0.072;22.0;0.99438;3.4;0.84;11.2
0.08;43.0;0.99578;3.44;0.64;10.9
0.064;43.0;0.99371;3.41;0.57;11.8
0.086;46.0;0.99522;3.53;0.57;10.6
0.067;48.0;0.99576;3.43;0.54;10.0
0.067;10.0;0.99552;3.23;0.58;11.1
0.104;10.0;0.99664;3.12;0.65;11.8
0.109;16.0;0.99614;3.31;0.79;11.8
0.067;14.0;0.99517;3.4;0.58;10.9
0.094;69.0;0.99787;3.22;0.5;10.0
0.076;88.0;0.99745;3.53;0.55;9.5
0.078;21.0;0.99576;3.15;0.49;9.9
0.068;35.0;0.99533;3.48;0.65;11.4
0.1939999999999999;26.0;0.99536;3.22;0.78;12.0
0.086;30.0;0.99824;3.34;0.64;10.5
0.083;28.0;0.99836;3.33;0.65;10.4
0.066;56.0;0.99577;3.15;0.79;12.1
0.072;64.0;0.99491;3.43;0.56;11.2
0.1119999999999999;99.0;1.00289;3.22;0.68;9.3
0.071;52.0;0.99576;3.44;0.58;10.1
0.078;86.0;0.99743;3.53;0.57;9.7
0.0819999999999999;18.0;0.99774;3.22;0.65;9.3
0.08;88.0;0.99745;3.53;0.58;9.8
0.08;43.0;0.9955;3.42;0.58;10.7
0.078;43.0;0.99444;3.31;0.77;12.5
0.084;11.0;0.99892;3.48;0.49;11.0
0.0559999999999999;39.0;0.99562;3.4;0.69;11.8
0.08;33.0;0.99736;3.58;0.69;10.8
0.06;18.0;0.9962;3.41;0.59;10.8
0.081;115.0;0.998;3.23;0.59;9.5
0.084;78.0;0.9964;3.39;0.71;11.0
0.079;9.0;0.9948;3.59;0.54;11.5
0.078;61.0;0.99528;3.43;0.59;10.8
0.059;11.0;0.99331;3.29;0.52;11.5
0.132;11.0;0.99577;3.23;0.57;13.2
0.114;9.0;0.99901;3.18;0.6;10.9
0.065;8.0;0.99674;3.33;0.62;12.2
0.094;10.0;0.99639;3.27;0.64;12.2
0.079;6.0;0.99512;3.27;0.67;11.9
0.161;62.0;0.99395;3.62;0.61;11.0
0.084;45.0;0.99824;3.38;0.64;10.1
0.081;79.0;0.9964;3.3;0.72;11.0
0.072;46.0;0.99504;3.38;0.89;11.8
0.091;23.0;0.99786;3.24;0.56;10.5
0.055;28.0;0.99516;3.18;0.8;11.2
0.064;77.0;0.99604;3.47;0.87;11.0
0.061;73.0;0.99786;3.47;0.9;10.2
0.093;75.0;0.99736;3.2;0.59;9.2
0.063;19.0;0.99468;3.3;0.73;12.0
0.08;25.0;0.99746;3.69;0.73;10.5
0.074;38.0;0.99748;3.48;0.65;9.8
0.078;66.0;0.9971;3.45;0.59;9.5
0.06;72.0;0.99543;3.39;0.72;11.8
0.071;26.0;0.99791;3.07;0.6;10.4
0.068;42.0;0.99356;3.34;0.72;12.9
0.073;11.0;0.99425;3.61;0.54;11.4
0.074;25.0;0.99509;3.36;0.76;12.4
0.0819999999999999;17.0;0.99484;3.19;0.52;12.5
0.092;52.0;0.99834;3.22;0.64;10.0
0.094;45.0;0.99864;3.24;0.6;9.7
0.09;24.0;0.99498;3.27;0.64;12.1
0.071;20.0;0.99566;3.14;0.79;11.1
0.092;24.0;0.99745;3.29;0.99;12.0
0.093;12.0;0.99408;3.26;0.62;12.4
0.075;21.0;0.99552;3.41;0.76;11.9
0.0579999999999999;10.0;0.99536;3.31;0.68;11.2
0.052;9.0;0.99458;3.2;0.69;12.1
0.0819999999999999;11.0;0.99538;3.44;0.54;12.2
0.09;23.0;0.99648;3.36;0.67;10.4
0.111;10.0;0.99568;3.31;0.62;11.3
0.088;51.0;0.99613;3.29;0.58;11.1
0.12;36.0;0.99519;3.47;0.71;11.3
0.089;32.0;0.99735;3.36;0.61;10.0
0.0579999999999999;38.0;0.99518;3.16;0.85;11.1
0.078;18.0;0.99592;3.27;0.62;9.3
0.115;16.0;0.99654;3.38;0.69;9.5
0.1;27.0;0.99546;3.15;0.69;11.2
0.065;48.0;0.99554;3.34;0.86;11.0
0.103;10.0;0.99604;3.13;0.58;11.9
0.0969999999999999;113.0;0.99733;3.13;0.48;9.2
0.068;46.0;0.9943;3.2;0.6;12.2
0.079;22.0;0.99669;3.46;0.61;10.2
0.066;10.0;0.99724;3.33;0.87;10.9
0.104;13.0;0.99643;3.22;0.65;11.6
0.079;12.0;0.99605;3.52;0.63;10.7
0.073;13.0;0.99658;3.3;0.62;12.1
0.083;72.0;0.997;3.44;0.52;9.4
0.109;119.0;0.99801;3.15;0.5;9.1
0.061;29.0;0.99416;3.28;0.49;11.3
0.075;6.0;0.9969;3.13;0.63;10.4
0.065;17.0;0.99774;3.32;0.71;10.5
0.079;28.0;0.99712;3.25;0.62;10.0
0.07;70.0;0.99418;3.34;0.82;12.9
0.064;11.0;0.99562;3.45;0.58;11.3
0.066;7.0;0.9947;3.19;0.55;11.4
0.08;70.0;0.99693;3.44;0.5;9.4
0.0969999999999999;27.0;0.99596;3.16;0.49;9.4
0.073;21.0;0.99556;3.14;0.51;10.9
0.0819999999999999;68.0;0.99694;3.45;0.48;9.4
0.076;47.0;0.99554;3.36;0.48;9.4
0.092;88.0;0.99918;3.15;0.43;9.4
0.079;41.0;0.99697;3.39;0.62;10.1
0.087;11.0;0.99378;3.71;0.63;12.8
0.05;10.0;0.99554;3.12;0.48;9.1
0.055;12.0;0.99162;3.47;0.53;12.9
0.062;12.0;0.99495;3.44;0.72;11.5
0.0579999999999999;47.0;0.99676;3.26;0.82;10.6
0.063;27.0;0.99516;3.26;0.84;11.7
0.067;8.0;0.9928;3.36;0.55;12.8
0.081;45.0;0.99603;3.25;0.54;10.3
0.064;25.0;0.99516;3.26;0.84;11.7
0.11;24.0;0.99549;3.23;0.7;12.0
0.1159999999999999;55.0;0.99722;3.18;0.68;10.9
0.067;12.0;0.99354;3.25;0.55;12.3
0.088;19.0;0.9957;3.17;0.55;10.4
0.102;32.0;0.99604;3.23;0.48;10.0
0.092;31.0;0.99635;3.38;0.58;10.0
0.12;7.0;0.99454;3.22;0.58;11.2
0.075;27.0;0.99598;3.06;0.84;11.4
0.068;28.0;0.99486;3.27;0.75;12.6
0.049;109.0;0.99007;2.89;0.44;12.7
0.078;23.0;0.99636;3.53;0.61;10.4
0.123;8.0;0.99642;3.2;0.53;11.9
0.062;9.0;0.99584;3.35;0.54;10.5
0.098;9.0;0.99506;3.27;0.55;12.3
0.088;18.0;0.99568;3.32;0.56;10.5
0.095;43.0;0.99822;3.33;0.6;10.4
0.066;36.0;0.99364;3.41;0.56;12.6
0.065;52.0;0.99378;3.49;0.52;11.6
0.075;68.0;0.99586;3.37;0.54;10.1
0.091;14.0;0.99488;3.42;0.55;11.5
0.093;15.0;0.99514;3.35;0.58;11.0
0.095;14.0;0.99854;3.36;0.53;9.6
0.089;27.0;0.99592;3.3;0.59;10.4
0.077;48.0;0.99739;3.2;0.47;9.7
0.085;17.0;0.99683;3.17;0.65;10.6
0.0819999999999999;35.0;0.99356;3.22;0.59;12.5
0.074;56.0;0.99672;3.35;0.56;9.2
0.078;42.0;0.9953;3.24;0.77;12.6
0.088;39.0;0.99692;3.33;0.83;11.1
0.088;32.0;0.99756;3.58;0.67;10.2
0.079;26.0;0.99547;3.38;0.64;9.8
0.069;39.0;0.99859;3.29;0.81;10.9
0.046;53.0;0.99294;3.36;0.62;12.2
0.07;38.0;0.99438;3.32;0.58;11.4
0.076;45.0;0.99612;3.31;0.62;10.7
0.0819999999999999;51.0;0.99634;3.49;0.64;10.4
0.081;14.0;0.99702;3.27;0.78;10.9
0.084;17.0;0.99704;3.27;0.77;10.8
0.414;45.0;0.99702;3.03;1.34;9.2
0.073;25.0;0.99258;3.56;0.55;12.9
0.07;20.0;0.99426;3.38;0.77;12.7
0.095;77.0;0.99747;3.13;0.62;9.1
0.1009999999999999;10.0;0.99586;3.21;0.59;12.1
0.104;90.0;0.99784;3.15;0.57;9.1
0.093;52.0;0.9971;3.19;0.76;11.6
0.074;8.0;0.9981;3.14;0.7;9.9
0.071;16.0;0.99462;3.21;0.69;12.5
0.098;15.0;0.9956;3.3;0.64;11.4
0.075;17.0;0.99565;3.22;0.63;11.8
0.067;10.0;0.99418;3.28;0.57;11.8
0.083;20.0;0.9963;3.29;0.6;10.2
0.07;26.0;0.99358;3.4;0.72;12.5
0.06;10.0;0.99572;3.02;0.83;10.9
0.086;52.0;0.997;3.31;0.62;10.8
0.057;37.0;0.99498;3.18;0.89;11.1
0.098;92.0;0.99892;3.2;0.58;9.2
0.083;75.0;0.9968;3.4;0.58;9.5
0.088;37.0;0.9972;3.31;0.58;10.7
0.071;67.0;0.99769;3.44;0.86;10.2
0.073;8.0;0.99534;3.15;0.73;11.4
0.08;8.0;0.99817;3.27;0.58;11.0
0.05;278.0;0.99316;3.01;0.51;12.3
0.047;8.0;0.99471;3.16;0.51;11.8
0.05;289.0;0.99316;3.01;0.51;12.3
0.073;70.0;0.99685;3.42;0.59;9.5
0.072;59.0;0.99617;3.33;0.77;12.0
0.074;64.0;0.99529;3.12;0.49;9.6
0.055;9.0;0.99738;3.38;0.66;11.6
0.057;30.0;0.994;3.29;0.69;11.2
0.095;41.0;0.99735;3.02;0.76;9.9
0.083;74.0;0.99451;2.98;0.63;11.8
0.086;19.0;0.99546;3.35;0.6;11.4
0.081;16.0;0.99479;3.43;0.59;11.5
0.079;31.0;0.99615;3.33;0.86;12.0
0.1169999999999999;17.0;0.99655;3.35;0.49;10.8
0.087;20.0;0.99772;3.15;0.5;10.5
0.096;18.0;0.99666;3.2;0.52;9.4
0.216;16.0;0.99358;3.15;0.81;12.5
0.072;36.0;0.99392;3.11;0.78;12.4
0.071;25.0;0.99388;3.35;0.63;12.0
0.078;30.0;0.99402;3.45;0.54;11.2
0.073;25.0;0.9936;3.28;0.66;12.4
0.048;49.0;0.99374;3.41;0.6;12.8
0.069;17.0;0.99376;3.21;0.54;12.3
0.068;24.0;0.99523;3.27;0.85;11.7
0.09;13.0;0.99855;3.36;0.49;9.5
0.171;66.0;0.9982;3.17;0.76;10.8
0.07;14.0;0.99593;3.25;0.64;10.0
0.092;55.0;0.99471;3.78;0.64;12.3
0.0559999999999999;35.0;0.99396;3.29;0.71;11.0
0.074;10.0;0.99698;3.12;0.59;9.5
0.046;80.0;0.9902;3.49;0.66;13.6
0.091;21.0;0.99572;3.38;0.6;11.3
0.065;24.0;0.99252;3.3;0.53;13.3
0.066;15.0;0.99256;3.52;0.58;12.9
0.076;17.0;0.99235;3.2;0.72;13.1
0.062;28.0;0.99352;3.44;0.55;12.3
0.055;33.0;0.9922;3.45;0.48;12.3
0.081;29.0;0.99674;3.12;0.65;11.2
0.096;13.0;0.99557;3.62;0.62;11.5
0.055;27.0;0.99394;3.14;0.59;11.3
0.063;11.0;0.9915;3.39;0.54;13.5
0.072;52.0;0.99379;3.51;0.6;11.5
0.095;89.0;0.9984;3.22;0.68;10.0
0.092;70.0;0.99798;3.21;0.69;10.5
0.0579999999999999;10.0;0.9977;3.18;0.63;10.4
0.045;135.0;0.99341;3.32;0.44;9.5
0.075;38.0;0.9933;3.38;0.88;13.6
0.089;18.0;0.99684;3.37;0.68;11.2
0.061;15.0;0.99524;3.3;0.74;11.8
0.067;50.0;0.9946;3.38;0.6;11.9
0.08;13.0;0.99774;3.22;0.76;11.4
0.104;94.0;0.99786;3.14;0.58;9.1
0.079;86.0;0.99764;3.34;0.64;9.5
0.08;79.0;0.9969;3.41;0.65;9.5
0.08;71.0;0.99624;3.27;0.85;11.0
0.043;12.0;0.99354;3.3;0.65;11.4
0.065;20.0;0.99672;3.61;0.82;10.0
0.066;70.0;0.99588;3.43;0.62;10.1
0.076;51.0;0.99672;3.53;0.81;10.4
0.178;21.0;0.996;3.28;0.87;9.8
0.071;14.0;0.99702;3.21;0.49;11.8
0.086;21.0;0.99526;3.39;0.66;11.6
0.061;11.0;0.99585;3.23;0.52;12.0
0.067;12.0;0.99473;3.3;0.76;12.8
0.044;70.0;0.99352;3.46;0.65;12.5
0.118;38.0;0.99616;3.15;0.53;9.8
0.083;38.0;0.99622;3.23;0.66;11.1
0.1;63.0;0.99544;3.59;0.68;11.4
0.071;88.0;0.99524;3.33;0.76;11.8
0.042;101.0;0.9924;3.46;0.87;12.9
0.076;54.0;0.99572;3.42;1.16;10.6
0.11;37.0;0.99728;3.16;0.67;10.8
0.087;20.0;0.99676;3.14;0.72;11.1
0.076;21.0;0.99551;3.21;0.75;10.2
0.075;19.0;0.99434;3.14;0.71;11.8
0.078;21.0;0.99692;3.29;0.67;10.0
0.369;38.0;0.99634;3.01;1.1;9.4
0.111;60.0;0.99709;2.94;0.98;10.2
0.074;48.0;0.99528;3.32;0.88;12.4
0.067;44.0;0.99384;3.21;0.56;12.0
0.086;14.0;0.99502;3.32;0.62;11.5
0.062;12.0;0.99667;3.2;0.67;10.5
0.078;44.0;0.99522;3.42;0.68;10.8
0.074;16.0;0.99649;3.27;0.74;12.3
0.079;65.0;0.99716;3.46;0.62;9.5
0.095;59.0;0.99541;3.61;0.7;11.5
0.079;47.0;0.99572;3.58;0.5;11.2
0.052;11.0;0.99318;3.35;0.66;12.7
0.0409999999999999;78.0;0.99346;3.68;0.73;11.4
0.076;47.0;0.99599;3.27;0.81;11.0
0.068;11.0;0.99478;3.19;0.46;11.4
0.068;54.0;0.99754;3.38;0.86;10.5
0.07;61.0;0.99572;3.29;0.6;9.3
0.08;119.0;0.99538;3.36;0.7;10.9
0.085;39.0;0.99346;3.33;0.46;11.9
0.079;12.0;0.9963;3.52;0.5;12.2
0.075;19.0;0.99616;3.3;0.44;9.6
0.08;20.0;0.99652;3.28;0.57;12.5
0.166;12.0;0.99551;3.56;0.51;10.8
0.063;41.0;0.99439;3.52;0.8;12.4
0.114;64.0;0.99588;3.22;0.59;9.5
0.078;56.0;0.99633;3.52;0.6;9.5
0.076;94.0;0.99686;3.21;0.58;9.5
0.069;9.0;0.99458;3.16;0.54;9.8
0.052;77.0;0.9951;3.15;0.79;10.9
0.065;10.0;0.99419;3.27;0.54;11.2
0.068;12.0;0.99516;3.35;0.69;11.7
0.111;76.0;0.99878;3.14;0.55;9.4
0.074;44.0;0.99534;3.4;0.85;11.0
0.136;52.0;0.99752;3.35;0.94;10.0
0.071;24.0;0.99428;3.45;0.87;11.2
0.078;15.0;0.99498;3.35;0.62;10.4
0.076;53.0;0.9957;3.32;0.62;9.3
0.071;13.0;0.99659;3.15;0.75;10.5
0.081;9.0;0.99628;3.1;0.48;10.4
0.095;29.0;0.99488;3.26;0.56;11.3
0.079;79.0;0.99677;3.29;0.69;9.5
0.057;74.0;0.99408;3.23;0.81;12.0
0.0819999999999999;24.0;0.996;3.24;0.69;10.6
0.044;50.0;0.99478;3.2;0.83;10.9
0.132;44.0;0.99734;3.28;0.77;11.5
0.078;89.0;0.99678;3.26;0.46;9.6
0.074;23.0;0.99638;3.23;0.76;12.0
0.08;20.0;0.9992;3.07;0.82;10.3
0.091;77.0;0.99922;3.15;0.51;9.4
0.08;46.0;0.99592;3.02;0.47;9.2
0.104;21.0;0.99769;3.27;0.72;9.6
0.044;88.0;0.99157;3.68;0.73;13.6
0.075;66.0;0.99718;3.4;0.64;9.5
0.066;58.0;0.9947;3.37;0.78;11.8
0.074;90.0;0.99621;3.38;0.62;10.8
0.057;36.0;0.99614;3.23;0.49;9.3
0.059;18.0;0.99242;3.39;0.4;12.8
0.054;113.0;0.99572;3.3;0.56;11.5
0.07;17.0;0.99659;3.26;0.64;9.4
0.081;24.0;0.99798;3.38;0.46;9.6
0.057;20.0;0.99488;3.45;0.56;11.8
0.076;60.0;0.99494;3.1;0.4;9.3
0.079;65.0;0.99729;3.16;0.59;9.8
0.0579999999999999;40.0;0.99414;3.22;0.6;12.2
0.0819999999999999;86.0;0.9983;3.37;0.62;9.5
0.067;160.0;0.99721;3.33;0.54;10.3
0.0819999999999999;34.0;0.99655;3.49;0.68;10.5
0.086;48.0;0.99502;3.12;0.48;10.0
0.081;36.0;0.9949;3.41;0.75;11.1
0.079;37.0;0.99514;3.4;0.61;10.9
0.077;60.0;0.9963;3.28;0.59;9.8
0.123;14.0;0.99627;3.45;0.58;9.8
0.096;13.0;0.99569;3.43;0.58;9.5
0.079;35.0;0.99628;3.4;0.69;10.9
0.069;46.0;0.99358;3.47;0.45;11.0
0.0819999999999999;60.0;0.99499;3.1;0.42;9.2
0.085;69.0;0.99633;3.32;0.7;11.0
0.123;33.0;0.99538;3.44;0.63;11.3
0.4029999999999999;56.0;0.99632;3.02;1.15;9.3
0.083;24.0;0.99437;3.59;0.55;11.2
0.081;66.0;0.99726;3.15;0.58;9.8
0.089;26.0;0.9978;3.37;0.46;9.6
0.066;51.0;0.99456;3.38;0.72;11.8
0.081;36.0;0.99564;3.38;0.6;10.3
0.068;19.0;0.996;3.1;0.87;11.4
0.079;51.0;0.99668;3.47;0.55;9.5
0.044;87.0;0.9908;3.5;0.82;14.0
0.048;60.0;0.99084;3.7;0.75;14.0
0.049;64.0;0.9935;3.38;0.57;11.7
0.077;44.0;0.99385;3.5;0.53;11.2
0.073;44.0;0.99494;3.1;0.43;9.3
0.102;36.0;0.9944;3.24;0.53;11.2
0.075;81.0;0.99688;3.24;0.54;9.5
0.05;10.0;0.99566;3.28;0.56;12.0
0.114;10.0;0.99636;3.35;0.6;9.7
0.062;9.0;0.9948;3.14;0.57;11.5
0.077;54.0;0.9956;3.37;0.64;10.4
0.084;22.0;0.99619;3.33;0.68;10.9
0.096;69.0;0.99734;3.26;0.63;10.2
0.071;36.0;0.99476;3.39;0.56;10.9
0.09;47.0;0.99734;3.15;0.57;10.5
0.068;31.0;0.99328;3.35;0.54;12.4
0.0559999999999999;7.0;0.99286;3.22;0.37;13.0
0.068;110.0;0.99914;3.3;1.17;10.2
0.1;12.0;0.99521;3.36;0.59;11.0
0.073;60.0;0.99638;3.29;0.75;10.9
0.0559999999999999;28.0;0.99362;3.62;0.67;12.4
0.084;12.0;0.99672;3.34;0.49;9.7
0.093;77.5;0.99558;3.2;0.45;9.5
